datetime,station,allowed,moved,queued
2022-11-28T10:00:00.0,Metro_AlMansoura,65,65,0
2022-11-28T10:00:00.0,Metro_AlMatarAlQadeem,37,37,20
2022-11-28T10:00:00.0,Metro_AlMessila,33,33,848
2022-11-28T10:00:00.0,Metro_AlQassar,21,21,424
2022-11-28T10:00:00.0,Metro_AlRayyanAlQadeem,18,18,1
2022-11-28T10:00:00.0,Metro_AlRiffa,6,6,386
2022-11-28T10:00:00.0,Metro_AlSadd,19,19,377
2022-11-28T10:00:00.0,Metro_AlShaqab,3,3,0
2022-11-28T10:00:00.0,Metro_AlSudan,19,19,1
2022-11-28T10:00:00.0,Metro_AlWaabQLM,6,6,1
2022-11-28T10:00:00.0,Metro_AlWakra,45,45,1
2022-11-28T10:00:00.0,Metro_BinMahmoud,40,40,0
2022-11-28T10:00:00.0,Metro_Corniche,0,0,0
2022-11-28T10:00:00.0,Metro_DECC,22,22,265
2022-11-28T10:00:00.0,Metro_EducationCity,64,64,0
2022-11-28T10:00:00.0,Metro_FreeZone,14,14,0
2022-11-28T10:00:00.0,Metro_HamadHospital,12,12,0
2022-11-28T10:00:00.0,Metro_HamadIntlAirportT1,31,31,14
2022-11-28T10:00:00.0,Metro_Joaan,34,34,45
2022-11-28T10:00:00.0,Metro_Katara,22,22,0
2022-11-28T10:00:00.0,Metro_Legtaifiya,52,52,0
2022-11-28T10:00:00.0,Metro_Lusail,30,30,62
2022-11-28T10:00:00.0,Metro_MsheirebConcourse,38,38,0
2022-11-28T10:00:00.0,Metro_MsheirebGoldPlatformEastBound,0,0,0
2022-11-28T10:00:00.0,Metro_MsheirebGoldPlatformWestBound,0,0,0
2022-11-28T10:00:00.0,Metro_MsheirebRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T10:00:00.0,Metro_MsheirebRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T10:00:00.0,Metro_NationalMuseum,32,32,0
2022-11-28T10:00:00.0,Metro_OqbaIbnNafie,22,22,0
2022-11-28T10:00:00.0,Metro_QatarNationalLibrary,17,17,1
2022-11-28T10:00:00.0,Metro_QatarUniversity,5,5,29
2022-11-28T10:00:00.0,Metro_RasBuAbboud,4,4,1
2022-11-28T10:00:00.0,Metro_RasBuFontas,18,18,0
2022-11-28T10:00:00.0,Metro_SouqWaqif,72,72,0
2022-11-28T10:00:00.0,Metro_SportCity,18,18,0
2022-11-28T10:00:00.0,Metro_TheWhitePalace,7,7,170
2022-11-28T10:00:00.0,Metro_UmmGhuwailina,19,19,0
2022-11-28T10:00:00.0,Metro_WestBay,19,19,0
2022-11-28T11:00:00.0,Metro_AlAziziyah,69,69,860
2022-11-28T11:00:00.0,Metro_AlBiddaConcourse,21,21,521
2022-11-28T11:00:00.0,Metro_AlBiddaGreenPlatformNorthBound,0,0,0
2022-11-28T11:00:00.0,Metro_AlBiddaGreenPlatformSouthBound,0,0,0
2022-11-28T11:00:00.0,Metro_AlBiddaRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T11:00:00.0,Metro_AlBiddaRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T11:00:00.0,Metro_AlBiddaRedPlatformNorthBound,0,0,0
2022-11-28T11:00:00.0,Metro_AlBiddaRedPlatformSouthBound,0,0,0
2022-11-28T11:00:00.0,Metro_AlDohaAlJadeda,60,60,217
2022-11-28T11:00:00.0,Metro_AlMansoura,74,74,1050
2022-11-28T11:00:00.0,Metro_AlMatarAlQadeem,28,28,416
2022-11-28T11:00:00.0,Metro_AlMessila,57,57,825
2022-11-28T11:00:00.0,Metro_AlQassar,32,32,580
2022-11-28T11:00:00.0,Metro_AlRayyanAlQadeem,15,15,767
2022-11-28T11:00:00.0,Metro_AlRiffa,7,7,1212
2022-11-28T11:00:00.0,Metro_AlSadd,19,19,1282
2022-11-28T11:00:00.0,Metro_AlShaqab,0,0,388
2022-11-28T11:00:00.0,Metro_AlSudan,11,11,938
2022-11-28T11:00:00.0,Metro_AlWaabQLM,0,0,584
2022-11-28T11:00:00.0,Metro_AlWakra,53,53,542
2022-11-28T11:00:00.0,Metro_BinMahmoud,25,25,1000
2022-11-28T11:00:00.0,Metro_Corniche,0,0,0
2022-11-28T11:00:00.0,Metro_DECC,33,33,353
2022-11-28T11:00:00.0,Metro_EducationCity,88,88,617
2022-11-28T11:00:00.0,Metro_FreeZone,10,10,398
2022-11-28T11:00:00.0,Metro_HamadHospital,1,1,721
2022-11-28T11:00:00.0,Metro_HamadIntlAirportT1,20,20,488
2022-11-28T11:00:00.0,Metro_Joaan,33,33,1025
2022-11-28T11:00:00.0,Metro_Katara,21,21,427
2022-11-28T11:00:00.0,Metro_Legtaifiya,86,86,618
2022-11-28T11:00:00.0,Metro_Lusail,38,38,686
2022-11-28T11:00:00.0,Metro_MsheirebConcourse,44,44,443
2022-11-28T11:00:00.0,Metro_MsheirebGoldPlatformEastBound,0,0,0
2022-11-28T11:00:00.0,Metro_MsheirebGoldPlatformWestBound,0,0,0
2022-11-28T11:00:00.0,Metro_MsheirebRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T11:00:00.0,Metro_MsheirebRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T11:00:00.0,Metro_NationalMuseum,44,44,26
2022-11-28T11:00:00.0,Metro_OqbaIbnNafie,28,28,452
2022-11-28T11:00:00.0,Metro_QatarNationalLibrary,28,28,671
2022-11-28T11:00:00.0,Metro_QatarUniversity,2,2,389
2022-11-28T11:00:00.0,Metro_RasBuAbboud,8,8,25
2022-11-28T11:00:00.0,Metro_RasBuFontas,14,14,297
2022-11-28T11:00:00.0,Metro_SouqWaqif,91,91,49
2022-11-28T11:00:00.0,Metro_SportCity,16,16,806
2022-11-28T11:00:00.0,Metro_TheWhitePalace,2,2,961
2022-11-28T11:00:00.0,Metro_UmmGhuwailina,12,12,481
2022-11-28T11:00:00.0,Metro_WestBay,19,19,704
2022-11-28T12:00:00.0,Metro_AlAziziyah,96,96,1852
2022-11-28T12:00:00.0,Metro_AlBiddaConcourse,23,23,1594
2022-11-28T12:00:00.0,Metro_AlBiddaGreenPlatformNorthBound,0,0,0
2022-11-28T12:00:00.0,Metro_AlBiddaGreenPlatformSouthBound,0,0,0
2022-11-28T12:00:00.0,Metro_AlBiddaRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T12:00:00.0,Metro_AlBiddaRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T12:00:00.0,Metro_AlBiddaRedPlatformNorthBound,0,0,0
2022-11-28T12:00:00.0,Metro_AlBiddaRedPlatformSouthBound,0,0,0
2022-11-28T12:00:00.0,Metro_AlDohaAlJadeda,55,55,909
2022-11-28T12:00:00.0,Metro_AlMansoura,68,68,2580
2022-11-28T12:00:00.0,Metro_AlMatarAlQadeem,16,16,1493
2022-11-28T12:00:00.0,Metro_AlMessila,32,32,1788
2022-11-28T12:00:00.0,Metro_AlQassar,32,32,1497
2022-11-28T12:00:00.0,Metro_AlRayyanAlQadeem,7,7,1954
2022-11-28T12:00:00.0,Metro_AlRiffa,5,5,2221
2022-11-28T12:00:00.0,Metro_AlSadd,4,4,2502
2022-11-28T12:00:00.0,Metro_AlShaqab,0,0,818
2022-11-28T12:00:00.0,Metro_AlSudan,20,20,1897
2022-11-28T12:00:00.0,Metro_AlWaabQLM,0,0,1322
2022-11-28T12:00:00.0,Metro_AlWakra,67,67,1582
2022-11-28T12:00:00.0,Metro_BinMahmoud,19,19,2000
2022-11-28T12:00:00.0,Metro_Corniche,0,0,0
2022-11-28T12:00:00.0,Metro_DECC,17,17,1284
2022-11-28T12:00:00.0,Metro_EducationCity,108,108,1507
2022-11-28T12:00:00.0,Metro_FreeZone,9,9,1183
2022-11-28T12:00:00.0,Metro_HamadHospital,0,0,1294
2022-11-28T12:00:00.0,Metro_HamadIntlAirportT1,14,14,1554
2022-11-28T12:00:00.0,Metro_Joaan,19,19,2031
2022-11-28T12:00:00.0,Metro_Katara,17,17,1260
2022-11-28T12:00:00.0,Metro_Legtaifiya,111,111,1709
2022-11-28T12:00:00.0,Metro_Lusail,46,46,1224
2022-11-28T12:00:00.0,Metro_MsheirebConcourse,42,42,1079
2022-11-28T12:00:00.0,Metro_MsheirebGoldPlatformEastBound,0,0,0
2022-11-28T12:00:00.0,Metro_MsheirebGoldPlatformWestBound,0,0,0
2022-11-28T12:00:00.0,Metro_MsheirebRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T12:00:00.0,Metro_MsheirebRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T12:00:00.0,Metro_NationalMuseum,43,43,570
2022-11-28T12:00:00.0,Metro_OqbaIbnNafie,32,32,1206
2022-11-28T12:00:00.0,Metro_QatarNationalLibrary,38,38,1785
2022-11-28T12:00:00.0,Metro_QatarUniversity,1,1,1121
2022-11-28T12:00:00.0,Metro_RasBuAbboud,3,3,547
2022-11-28T12:00:00.0,Metro_RasBuFontas,0,0,1161
2022-11-28T12:00:00.0,Metro_SouqWaqif,95,95,945
2022-11-28T12:00:00.0,Metro_SportCity,27,27,1760
2022-11-28T12:00:00.0,Metro_TheWhitePalace,0,0,1689
2022-11-28T12:00:00.0,Metro_UmmGhuwailina,11,11,1084
2022-11-28T12:00:00.0,Metro_WestBay,29,29,1766
2022-11-28T13:00:00.0,Metro_AlAziziyah,101,101,3594
2022-11-28T13:00:00.0,Metro_AlBiddaConcourse,26,26,2558
2022-11-28T13:00:00.0,Metro_AlBiddaGreenPlatformNorthBound,0,0,0
2022-11-28T13:00:00.0,Metro_AlBiddaGreenPlatformSouthBound,0,0,0
2022-11-28T13:00:00.0,Metro_AlBiddaRedAndGreenPlatformNorthBound,0,0,0
2022-11-28T13:00:00.0,Metro_AlBiddaRedAndGreenPlatformSouthBound,0,0,0
2022-11-28T13:00:00.0,Metro_AlBiddaRedPlatformNorthBound,0,0,0
2022-11-28T13:00:00.0,Metro_AlBiddaRedPlatformSouthBound,0,0,0
2022-11-28T13:00:00.0,Metro_AlDohaAlJadeda,51,51,1324
2022-11-28T13:00:00.0,Metro_AlMansoura,56,56,4804
2022-11-28T13:00:00.0,Metro_AlMatarAlQadeem,14,14,2622
2022-11-28T13:00:00.0,Metro_AlMessila,20,20,3683
2022-11-28T13:00:00.0,Metro_AlQassar,31,31,2594
2022-11-28T13:00:00.0,Metro_AlRayyanAlQadeem,5,5,3118
2022-11-28T13:00:00.0,Metro_AlRiffa,5,5,2954
2022-11-28T13:00:00.0,Metro_AlSadd,0,0,3900
