Station Name,Metro Line(s)
Ningguo Road,"Line 12"
Longchang Road,"Line 12"
Aiguo Road,"Line 12"
Fuxing Island,"Line 12"
Donglu Road,"Line 12"
North Yanggao Road,"Line 12"
Jinjing Road,"Line 12"
Shenjiang Road,"Line 12"
Jinhai Road,"Line 12"
Shanghai Natural History Museum,"Line 13"
Jiangning Road,"Line 13"
Jinyun Road,"Line 13"
West Jinshajiang Road,"Line 13"
Fengzhuang,"Line 13"
South Qilianshan Road,"Line 13"
Zhenbei Road,"Line 13"
Daduhe Road,"Line 13"
Wuning Road,"Line 13"
Longde Road,"Line 11, Line 13"
World Expo Museum,"Line 13"
Expo Avenue,"Line 13"
Middle Huaxia Road,"Line 16"
East Zhoupu,"Line 16"
Hesha Hangcheng,"Line 16"
Hangtou East,"Line 16"
Xinchang,"Line 16"
Shanghai Wild Animal Park,"Line 16"
Huinan,"Line 16"
Huinan East,"Line 16"
Shuyuan,"Line 16"
Lingang Avenue,"Line 16"
Dishui Lake,"Line 16"
Caoxi Road,"Line 3"
Hangzhong Road,"Line 10"
Ziteng Road,"Line 10"
